user_id,recency,frequency,monetary,year_month,active_period,avg_period,response
3,709,3,90.0,2016.12,10,3,0
15,232,3,66.2,2016.12,175,58,0
17,486,2,172.75,2016.12,27,13,0
20,109,2,40.54,2016.12,195,97,0
24,198,15,338.86,2016.12,524,34,0
30,598,4,84.75,2016.12,87,21,0
34,10,24,1168.96,2016.12,668,27,1
37,476,1,19.5,2016.12,0,0,0
38,724,1,38.5,2016.12,0,0,0
43,438,1,69.0,2016.12,0,0,0
45,642,4,72.0,2016.12,69,17,0
46,409,6,188.6,2016.12,296,49,0
48,601,2,103.2,2016.12,119,59,0
52,69,58,2580.07,2016.12,648,11,1
57,69,20,704.38,2016.12,656,32,0
58,425,13,424.75,2016.12,192,14,0
61,24,48,1366.48,2016.12,686,14,1
63,51,16,774.8,2016.12,650,40,0
65,311,1,32.43,2016.12,0,0,0
72,164,12,331.07000000000005,2016.12,484,40,0
73,168,1,57.6,2016.12,0,0,0
74,49,1,79.09,2016.12,0,0,0
75,26,35,1562.29,2016.12,572,16,1
76,518,6,280.8,2016.12,205,34,0
79,590,3,54.55,2016.12,34,11,0
87,661,2,92.5,2016.12,41,20,0
88,669,1,111.0,2016.12,0,0,0
91,115,15,411.21999999999997,2016.12,609,40,0
100,26,14,416.8,2016.12,531,37,0
101,555,1,8.58,2016.12,0,0,0
102,131,1,17.5,2016.12,0,0,0
104,7,52,3323.17,2016.12,720,13,1
105,446,1,64.6,2016.12,0,0,0
106,17,65,2293.83,2016.12,699,10,1
117,499,1,109.88,2016.12,0,0,0
125,38,1,42.29,2016.12,0,0,0
129,9,23,703.95,2016.12,668,29,1
139,37,3,75.4,2016.12,279,93,0
141,3,14,358.59,2016.12,674,48,0
142,220,2,56.0,2016.12,219,109,0
143,16,92,1909.87,2016.12,711,7,1
146,545,1,59.9,2016.12,0,0,0
155,340,2,26.65,2016.12,12,6,1
162,32,1,36.22,2016.12,0,0,0
164,210,8,256.0,2016.12,483,60,0
165,416,1,40.0,2016.12,0,0,0
166,590,1,18.0,2016.12,0,0,0
170,12,118,3323.17,2016.12,712,6,1
177,34,37,1278.98,2016.12,665,17,1
178,4,58,895.1,2016.12,707,12,1
179,20,7,558.36,2016.12,699,99,0
180,10,19,574.35,2016.12,694,36,0
181,574,2,63.2,2016.12,133,66,0
182,79,16,443.42,2016.12,647,40,0
183,25,42,1032.8799999999999,2016.12,692,16,1
186,440,4,119.55,2016.12,25,6,0
193,54,2,42.8,2016.12,559,279,0
197,670,2,16.5,2016.12,8,4,0
205,320,1,22.0,2016.12,0,0,0
210,49,18,1576.63,2016.12,668,37,0
216,343,1,22.0,2016.12,0,0,0
219,467,4,96.95,2016.12,164,41,0
222,637,1,27.0,2016.12,0,0,0
223,282,17,357.62,2016.12,432,25,1
225,578,2,50.0,2016.12,92,46,0
227,167,3,68.25,2016.12,461,153,0
228,68,1,20.8,2016.12,0,0,0
231,460,6,290.4,2016.12,43,7,0
235,383,1,36.0,2016.12,0,0,0
240,40,18,525.6,2016.12,676,37,0
247,718,1,22.0,2016.12,0,0,0
257,569,1,61.0,2016.12,0,0,0
259,33,1,36.15,2016.12,0,0,0
264,696,2,40.5,2016.12,1,0,0
268,312,1,26.8,2016.12,0,0,0
276,18,4,135.66,2016.12,522,130,0
278,91,1,34.0,2016.12,0,0,0
279,74,1,26.1,2016.12,0,0,0
282,19,21,862.49,2016.12,706,33,0
292,30,1,19.73,2016.12,0,0,0
294,178,8,289.98,2016.12,351,43,0
300,64,13,404.23,2016.12,519,39,0
302,192,10,449.59000000000003,2016.12,532,53,0
303,86,9,47.84,2016.12,387,43,0
310,713,1,11.5,2016.12,0,0,0
316,23,19,673.06,2016.12,683,35,0
321,5,38,759.62,2016.12,714,18,1
327,564,1,16.0,2016.12,0,0,0
329,307,53,862.25,2016.12,406,7,1
330,9,32,775.46,2016.12,654,20,1
332,221,1,34.79,2016.12,0,0,0
337,228,1,16.5,2016.12,0,0,0
342,470,8,146.05,2016.12,235,29,0
343,584,1,25.8,2016.12,0,0,0
346,166,8,135.3,2016.12,448,56,0
347,375,3,149.6,2016.12,344,114,0
349,177,8,138.72,2016.12,470,58,0
352,43,7,315.75,2016.12,621,88,0
354,75,2,0.0,2016.12,25,12,1
367,41,28,1003.6899999999999,2016.12,623,22,1
368,2,32,842.5,2016.12,682,21,1
377,621,1,63.53,2016.12,0,0,0
380,117,15,898.14,2016.12,606,40,0
387,18,5,333.66999999999996,2016.12,168,33,0
398,646,8,181.79,2016.12,76,9,0
403,538,5,72.0,2016.12,184,36,0
404,626,1,25.8,2016.12,0,0,0
415,526,4,177.4,2016.12,179,44,0
426,75,40,1705.46,2016.12,624,15,1
427,485,8,100.62,2016.12,230,28,0
437,3,2,52.85,2016.12,181,90,0
439,381,7,110.92,2016.12,300,42,0
440,456,2,51.6,2016.12,55,27,0
441,391,2,131.75,2016.12,223,111,0
451,49,19,539.5,2016.12,679,35,0
458,643,3,98.75,2016.12,74,24,0
462,20,3,70.09,2016.12,96,32,0
466,79,1,41.8,2016.12,0,0,0
468,527,18,485.25,2016.12,186,10,0
472,44,20,649.5,2016.12,631,31,0
475,313,17,690.04,2016.12,399,23,1
479,342,1,17.0,2016.12,0,0,0
480,50,1,31.3,2016.12,0,0,0
481,96,6,181.65,2016.12,534,89,0
489,12,4,121.59,2016.12,662,165,0
492,1,22,1186.38,2016.12,716,32,0
495,616,2,107.3,2016.12,111,55,0
501,101,7,447.7,2016.12,597,85,0
512,691,1,25.5,2016.12,0,0,0
516,32,7,321.97,2016.12,462,66,0
517,19,3,124.8,2016.12,446,148,0
521,653,1,28.9,2016.12,0,0,0
522,76,5,215.51,2016.12,160,32,0
527,698,1,18.0,2016.12,0,0,0
530,446,2,56.85,2016.12,207,103,0
532,11,38,2015.46,2016.12,704,18,1
541,76,24,516.35,2016.12,650,27,1
542,523,29,461.74,2016.12,201,6,0
543,534,2,65.4,2016.12,182,91,0
549,387,8,169.8,2016.12,236,29,0
555,644,1,19.5,2016.12,0,0,0
557,184,24,996.65,2016.12,512,21,1
558,11,6,144.89,2016.12,442,73,0
560,684,1,14.5,2016.12,0,0,0
563,10,9,397.73,2016.12,607,67,0
565,24,58,2855.0099999999998,2016.12,682,11,1
566,291,12,833.51,2016.12,413,34,0
567,36,47,1344.06,2016.12,689,14,1
568,404,1,12.9,2016.12,0,0,0
569,256,14,501.53999999999996,2016.12,432,30,0
573,517,18,337.25,2016.12,170,9,0
574,11,10,649.03,2016.12,679,67,0
577,309,17,788.64,2016.12,392,23,1
579,546,1,19.4,2016.12,0,0,0
592,36,12,153.14999999999998,2016.12,616,51,0
594,11,20,714.87,2016.12,711,35,0
598,74,131,2872.92,2016.12,648,4,1
600,171,2,192.35000000000002,2016.12,46,23,1
615,550,2,25.8,2016.12,37,18,0
619,248,15,202.65,2016.12,467,31,0
622,695,1,31.0,2016.12,0,0,0
633,144,21,305.76,2016.12,582,27,1
636,556,1,25.8,2016.12,0,0,0
640,366,1,22.0,2016.12,0,0,0
648,439,3,53.1,2016.12,211,70,0
649,41,8,174.25,2016.12,636,79,0
653,36,31,776.98,2016.12,619,19,1
656,448,18,289.55,2016.12,267,14,0
657,217,2,32.61,2016.12,261,130,0
660,81,8,161.8,2016.12,613,76,0
662,217,21,531.65,2016.12,474,22,1
665,16,31,897.37,2016.12,696,22,1
666,592,1,14.0,2016.12,0,0,0
668,194,5,123.49,2016.12,356,71,0
674,343,1,16.0,2016.12,0,0,0
683,63,1,20.88,2016.12,0,0,0
684,674,1,19.0,2016.12,0,0,0
691,540,5,66.0,2016.12,90,18,0
694,516,1,32.0,2016.12,0,0,0
708,79,114,3323.17,2016.12,645,5,1
710,334,2,42.9,2016.12,321,160,0
713,21,14,659.65,2016.12,670,47,0
716,126,1,40.0,2016.12,0,0,0
718,35,29,851.15,2016.12,679,23,1
728,208,8,284.65999999999997,2016.12,111,13,1
732,59,1,25.78,2016.12,0,0,0
734,340,9,141.4,2016.12,369,41,0
736,639,1,13.0,2016.12,0,0,0
741,327,1,0.0,2016.12,0,0,0
744,631,3,81.25,2016.12,92,30,0
746,527,3,90.4,2016.12,72,24,0
754,1,74,2157.46,2016.12,724,9,1
768,377,4,210.8,2016.12,341,85,0
770,191,9,227.13,2016.12,504,56,0
771,125,8,418.8,2016.12,599,74,0
772,26,10,258.3,2016.12,688,68,0
774,13,13,336.38,2016.12,406,31,0
775,477,1,24.9,2016.12,0,0,0
777,451,13,242.4,2016.12,245,18,0
784,130,12,348.55,2016.12,570,47,0
785,20,5,108.78999999999999,2016.12,644,128,0
786,197,13,377.78,2016.12,522,40,0
789,487,1,37.62,2016.12,0,0,0
790,362,2,97.4,2016.12,265,132,0
792,404,36,286.25,2016.12,312,8,0
798,45,14,516.53,2016.12,359,25,1
800,188,13,480.48,2016.12,524,40,0
803,471,1,18.9,2016.12,0,0,0
806,467,6,217.65,2016.12,250,41,0
807,27,50,1194.31,2016.12,699,13,1
808,132,14,453.23,2016.12,588,42,0
810,186,2,33.0,2016.12,8,4,1
811,433,3,66.85,2016.12,44,14,0
812,16,10,244.98000000000002,2016.12,623,62,0
816,693,1,15.0,2016.12,0,0,0
820,17,8,208.78,2016.12,455,56,0
822,481,1,64.1,2016.12,0,0,0
826,32,41,1026.76,2016.12,683,16,1
827,40,1,31.94,2016.12,0,0,0
828,324,6,173.1,2016.12,342,57,0
830,79,20,487.47,2016.12,549,27,1
831,241,4,212.64,2016.12,359,89,0
832,13,18,587.15,2016.12,208,11,1
834,258,2,242.25,2016.12,7,3,1
835,89,17,488.46,2016.12,453,26,1
841,165,10,236.02,2016.12,449,44,0
844,327,5,99.18,2016.12,329,65,0
849,95,6,129.64,2016.12,631,105,0
856,652,5,198.8,2016.12,57,11,0
857,241,3,101.99000000000001,2016.12,254,84,0
858,551,2,44.15,2016.12,146,73,0
866,117,3,62.620000000000005,2016.12,550,183,0
868,263,7,162.25,2016.12,435,62,0
870,19,3,128.53,2016.12,77,25,1
871,514,3,80.0,2016.12,71,23,0
875,172,5,170.44,2016.12,553,110,0
876,257,4,91.5,2016.12,415,103,0
877,53,5,141.23,2016.12,491,98,0
882,282,2,80.07,2016.12,271,135,0
886,620,2,28.8,2016.12,75,37,0
905,280,1,21.29,2016.12,0,0,0
913,216,2,124.55000000000001,2016.12,426,213,0
918,186,4,123.74,2016.12,321,80,0
919,32,10,287.68,2016.12,615,61,0
921,12,3,91.7,2016.12,551,183,0
923,119,2,62.09,2016.12,133,66,0
926,7,50,2002.2,2016.12,717,14,1
928,249,28,970.7,2016.12,480,17,1
940,14,53,1715.03,2016.12,650,12,1
942,74,2,50.37,2016.12,217,108,0
944,201,6,147.10000000000002,2016.12,524,87,0
945,30,23,757.34,2016.12,670,29,1
948,492,2,28.8,2016.12,202,101,0
950,691,1,27.0,2016.12,0,0,0
