user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response
3,313,563,3,90.0,2015.11,10,3,1
15,11,11,1,25.8,2015.11,0,0,0
17,90,125,2,172.75,2015.11,27,13,1
24,1,1,9,165.95,2015.11,325,36,0
30,202,363,4,84.75,2015.11,87,21,1
34,15,15,11,620.35,2015.11,267,24,1
37,80,112,1,19.5,2015.11,0,0,0
38,328,590,1,38.5,2015.11,0,0,0
43,42,50,1,69.0,2015.11,0,0,0
45,246,442,4,72.0,2015.11,69,17,1
46,13,13,6,188.6,2015.11,296,49,0
48,205,369,2,103.2,2015.11,119,59,0
52,6,6,30,1114.55,2015.11,315,10,1
57,2,2,6,284.2,2015.11,327,54,0
58,29,31,13,424.75,2015.11,192,14,1
61,2,2,19,511.75,2015.11,312,16,1
63,11,11,6,262.2,2015.11,294,49,0
72,140,224,8,0.0,2015.11,112,14,1
75,1,1,12,645.25,2015.11,201,16,1
76,122,195,6,280.8,2015.11,205,34,0
79,194,349,3,54.55,2015.11,34,11,1
87,265,477,2,92.5,2015.11,41,20,1
88,273,491,1,111.0,2015.11,0,0,0
91,51,61,8,222.6,2015.11,277,34,0
100,41,49,4,155.4,2015.11,120,30,1
101,159,254,1,8.58,2015.11,0,0,0
104,9,9,27,1892.4,2015.11,322,11,1
105,50,60,1,64.6,2015.11,0,0,0
106,8,8,33,1136.91,2015.11,312,9,1
117,103,164,1,109.88,2015.11,0,0,0
129,15,15,13,276.16,2015.11,266,20,1
141,9,9,6,137.45,2015.11,272,45,0
142,43,51,1,2.0,2015.11,0,0,0
143,2,2,52,581.25,2015.11,329,6,1
146,149,238,1,59.9,2015.11,0,0,0
164,24,26,4,128.0,2015.11,273,68,0
165,20,22,1,40.0,2015.11,0,0,0
166,194,349,1,18.0,2015.11,0,0,0
170,6,6,61,2807.68,2015.11,322,5,1
177,31,37,19,631.33,2015.11,272,14,1
178,16,17,37,141.55,2015.11,299,8,1
179,15,15,3,282.2,2015.11,308,102,0
