user_id,recency,recency_weighted,frequency,monetary,year_month,active_period,avg_period,response,r_w_score,f_score,m_score
2460,59,70,1,0.0,2016.06,0,0,0,7,3,1
4305,156,249,1,0.0,2016.06,0,0,0,5,1,1
4313,155,248,1,0.0,2016.06,0,0,0,5,1,1
4311,155,248,1,0.0,2016.06,0,0,0,5,1,1
741,144,230,1,0.0,2016.06,0,0,0,6,1,1
4299,156,249,1,0.0,2016.06,0,0,0,5,1,1
4322,154,246,1,0.0,2016.06,0,0,0,5,1,1
4323,154,246,1,0.0,2016.06,0,0,0,5,1,1
4324,154,246,1,0.0,2016.06,0,0,0,5,1,1
4325,154,246,1,0.0,2016.06,0,0,0,5,1,1
4302,156,249,1,0.0,2016.06,0,0,0,5,1,1
3486,256,460,5,0.0,2016.06,22,4,1,4,8,1
5242,29,31,1,0.0,2016.06,0,0,0,8,2,1
4301,156,249,1,0.0,2016.06,0,0,0,5,1,1
2186,234,421,31,0.0,2016.06,217,7,1,4,10,1
4675,111,177,1,0.0,2016.06,0,0,0,6,3,1
5296,22,24,1,0.0,2016.06,0,0,0,9,2,1
4298,156,249,1,0.0,2016.06,0,0,0,5,1,1
4598,123,196,1,0.0,2016.06,0,0,0,6,1,1
2218,115,184,1,0.0,2016.06,0,0,0,6,3,1
4307,156,249,1,0.0,2016.06,0,0,0,5,1,1
4306,156,249,1,0.0,2016.06,0,0,0,5,1,1
1990,485,970,1,0.25,2016.06,0,0,0,1,4,1
2005,483,966,1,0.25,2016.06,0,0,0,1,4,1
2440,415,830,1,0.9,2016.06,0,0,0,1,4,1
2632,392,784,1,0.99,2016.06,0,0,0,2,3,1
4235,146,233,1,1.15,2016.06,0,0,0,6,1,1
1770,518,1036,1,1.25,2016.06,0,0,0,1,4,1
3345,297,534,1,1.25,2016.06,0,0,0,3,5,1
3344,297,534,1,1.25,2016.06,0,0,0,3,5,1
3717,253,455,1,1.25,2016.06,0,0,0,4,1,1
5295,23,25,1,1.76,2016.06,0,0,0,9,2,1
2789,372,744,1,2.4,2016.06,0,0,0,2,4,1
3508,233,419,8,2.7,2016.06,45,5,1,4,9,1
1748,233,419,20,2.7,2016.06,167,8,1,4,10,1
4065,196,352,1,2.9,2016.06,0,0,0,5,1,1
2142,463,926,1,2.9,2016.06,0,0,0,1,5,1
4060,198,356,1,2.9,2016.06,0,0,0,5,1,1
2159,458,916,1,2.9,2016.06,0,0,0,1,5,1
3468,283,509,1,2.9,2016.06,0,0,0,3,5,1
2733,379,758,1,2.9,2016.06,0,0,0,2,3,1
3440,287,516,1,2.9,2016.06,0,0,0,3,5,1
3227,213,383,1,3.0,2016.06,0,0,0,4,2,1
2646,365,657,1,3.0,2016.06,0,0,0,2,4,1
2700,382,764,1,3.5,2016.06,0,0,0,2,4,1
2449,414,828,1,3.5,2016.06,0,0,0,1,4,1
4029,173,276,1,4.0,2016.06,0,0,0,5,1,1
2958,336,604,1,4.0,2016.06,0,0,0,2,4,1
1897,503,1006,1,4.5,2016.06,0,0,0,1,4,1
1356,424,848,1,4.75,2016.06,0,0,0,1,5,1
2550,403,806,1,4.9,2016.06,0,0,0,2,4,1
2684,384,768,1,5.0,2016.06,0,0,0,2,3,1
2760,376,752,1,5.3,2016.06,0,0,0,2,3,1
2441,415,830,1,5.4,2016.06,0,0,0,1,4,1
3058,281,505,2,5.8,2016.06,52,26,1,3,6,1
4459,141,225,1,5.9,2016.06,0,0,0,6,1,1
3963,212,381,1,6.0,2016.06,0,0,0,4,2,1
1588,378,756,1,6.0,2016.06,0,0,0,2,3,1
2356,425,850,1,6.0,2016.06,0,0,0,1,5,1
2708,382,764,1,6.0,2016.06,0,0,0,2,3,1
2442,415,830,1,6.0,2016.06,0,0,0,1,4,1
2157,460,920,1,6.0,2016.06,0,0,0,1,5,1
2131,447,894,1,6.0,2016.06,0,0,0,1,5,1
2968,305,549,1,6.0,2016.06,0,0,0,3,5,1
2098,458,916,1,6.0,2016.06,0,0,0,1,5,1
2776,374,748,1,6.0,2016.06,0,0,0,2,3,1
1758,531,1062,1,6.0,2016.06,0,0,0,1,4,1
2058,477,954,1,6.25,2016.06,0,0,0,1,4,1
4320,155,248,1,6.3,2016.06,0,0,0,5,1,1
2007,483,966,1,7.0,2016.06,0,0,0,1,4,1
1959,491,982,1,7.0,2016.06,0,0,0,1,4,1
2034,477,954,1,7.0,2016.06,0,0,0,1,4,1
2033,480,960,1,7.0,2016.06,0,0,0,1,4,1
1697,544,1088,1,7.0,2016.06,0,0,0,1,1,1
4338,153,244,1,7.4,2016.06,0,0,0,5,1,1
4899,74,103,1,7.9,2016.06,0,0,0,7,3,1
3529,255,459,4,7.95,2016.06,21,5,1,4,8,1
101,372,744,1,8.58,2016.06,0,0,0,2,4,1
4163,172,275,1,8.9,2016.06,0,0,0,5,1,1
2612,393,786,1,8.9,2016.06,0,0,0,2,3,1
4682,110,176,1,9.41,2016.06,0,0,0,6,3,1
2865,361,649,1,9.5,2016.06,0,0,0,2,4,1
2128,460,920,1,9.55,2016.06,0,0,0,1,5,1
2999,327,588,1,9.75,2016.06,0,0,0,3,5,1
5270,22,24,1,10.0,2016.06,0,0,0,9,2,1
2040,480,960,1,10.0,2016.06,0,0,0,1,4,1
3159,316,568,1,10.0,2016.06,0,0,0,3,5,1
5218,9,9,1,10.0,2016.06,0,0,0,10,2,1
4949,74,103,1,10.0,2016.06,0,0,0,7,3,1
3492,280,504,1,10.0,2016.06,0,0,0,3,5,1
2740,379,758,1,10.0,2016.06,0,0,0,2,3,1
4822,90,125,1,10.0,2016.06,0,0,0,7,3,1
3843,235,423,1,10.0,2016.06,0,0,0,4,2,1
3938,219,394,1,10.0,2016.06,0,0,0,4,2,1
2420,417,834,1,10.0,2016.06,0,0,0,1,4,1
2244,442,884,1,10.0,2016.06,0,0,0,1,5,1
2822,368,736,1,10.25,2016.06,0,0,0,2,4,1
3483,281,505,1,10.25,2016.06,0,0,0,3,5,1
3872,229,412,1,10.3,2016.06,0,0,0,4,2,1
3909,222,399,1,10.4,2016.06,0,0,0,4,2,1
3131,321,577,1,10.4,2016.06,0,0,0,3,5,1
3322,298,536,1,10.4,2016.06,0,0,0,3,5,1
3466,283,509,1,10.4,2016.06,0,0,0,3,5,1
2530,406,812,1,10.4,2016.06,0,0,0,2,4,1
2952,351,631,1,10.4,2016.06,0,0,0,2,4,1
1980,486,972,1,10.5,2016.06,0,0,0,1,4,1
3398,279,502,1,10.5,2016.06,0,0,0,3,5,1
4027,204,367,1,10.5,2016.06,0,0,0,5,2,1
2147,462,924,1,10.5,2016.06,0,0,0,1,5,1
3324,291,523,1,10.5,2016.06,0,0,0,3,5,1
3575,244,439,1,10.5,2016.06,0,0,0,4,1,1
4071,193,347,1,10.5,2016.06,0,0,0,5,1,1
303,245,441,8,10.56,2016.06,45,5,1,4,9,1
2774,375,750,1,10.65,2016.06,0,0,0,2,3,1
2849,364,655,1,10.75,2016.06,0,0,0,2,4,1
5162,38,45,1,10.8,2016.06,0,0,0,8,2,1
2321,430,860,1,10.9,2016.06,0,0,0,1,4,1
3722,228,410,1,10.94,2016.06,0,0,0,4,2,1
2181,454,908,1,10.98,2016.06,0,0,0,1,5,1
3556,274,493,1,11.0,2016.06,0,0,0,3,1,1
2262,438,876,1,11.0,2016.06,0,0,0,1,5,1
4010,209,376,1,11.1,2016.06,0,0,0,5,2,1
3226,45,54,1,11.1,2016.06,0,0,0,8,2,1
3711,255,459,1,11.15,2016.06,0,0,0,4,1,1
2335,378,756,1,11.25,2016.06,0,0,0,2,3,1
3087,330,594,1,11.25,2016.06,0,0,0,3,4,1
3898,224,403,1,11.25,2016.06,0,0,0,4,2,1
3453,284,511,1,11.25,2016.06,0,0,0,3,5,1
2869,361,649,1,11.25,2016.06,0,0,0,2,4,1
3697,257,462,1,11.25,2016.06,0,0,0,4,1,1
1765,529,1058,1,11.25,2016.06,0,0,0,1,4,1
2703,380,760,1,11.25,2016.06,0,0,0,2,3,1
1231,204,367,1,11.25,2016.06,0,0,0,5,2,1
4207,166,265,1,11.25,2016.06,0,0,0,5,1,1
4247,162,259,1,11.25,2016.06,0,0,0,5,1,1
4096,167,267,1,11.25,2016.06,0,0,0,5,1,1
4155,172,275,1,11.25,2016.06,0,0,0,5,1,1
2994,344,619,1,11.4,2016.06,0,0,0,2,4,1
4050,199,358,1,11.4,2016.06,0,0,0,5,2,1
3814,239,430,1,11.4,2016.06,0,0,0,4,1,1
3424,289,520,1,11.5,2016.06,0,0,0,3,5,1
4226,164,262,1,11.5,2016.06,0,0,0,5,1,1
310,530,1060,1,11.5,2016.06,0,0,0,1,4,1
3629,264,475,1,11.5,2016.06,0,0,0,4,1,1
2123,467,934,1,11.61,2016.06,0,0,0,1,4,1
3826,237,426,1,11.65,2016.06,0,0,0,4,2,1
3066,332,597,1,11.8,2016.06,0,0,0,3,4,1
3609,268,482,1,12.0,2016.06,0,0,0,4,2,1
3518,277,498,1,12.0,2016.06,0,0,0,3,1,1
3519,277,498,1,12.0,2016.06,0,0,0,3,1,1
3655,259,466,1,12.0,2016.06,0,0,0,4,1,1
4147,173,276,1,12.0,2016.06,0,0,0,5,1,1
3801,241,433,1,12.0,2016.06,0,0,0,4,1,1
2842,366,732,1,12.0,2016.06,0,0,0,2,4,1
3965,215,387,1,12.0,2016.06,0,0,0,4,2,1
4160,172,275,1,12.0,2016.06,0,0,0,5,1,1
2220,446,892,1,12.0,2016.06,0,0,0,1,5,1
2588,236,424,1,12.0,2016.06,0,0,0,4,2,1
2495,409,818,1,12.0,2016.06,0,0,0,1,4,1
3552,274,493,1,12.0,2016.06,0,0,0,3,1,1
2488,410,820,1,12.0,2016.06,0,0,0,1,4,1
3970,214,385,1,12.0,2016.06,0,0,0,4,2,1
3956,216,388,1,12.0,2016.06,0,0,0,4,2,1
3833,236,424,1,12.0,2016.06,0,0,0,4,2,1
2535,166,265,1,12.0,2016.06,0,0,0,5,1,1
3738,251,451,1,12.0,2016.06,0,0,0,4,1,1
1781,525,1050,1,12.0,2016.06,0,0,0,1,4,1
3634,237,426,1,12.0,2016.06,0,0,0,4,1,1
2336,428,856,1,12.0,2016.06,0,0,0,1,4,1
3923,221,397,1,12.0,2016.06,0,0,0,4,2,1
4132,176,281,1,12.0,2016.06,0,0,0,5,1,1
1328,535,1070,1,12.0,2016.06,0,0,0,1,4,1
2850,255,459,2,12.0,2016.06,96,48,0,4,6,1
2202,449,898,1,12.0,2016.06,0,0,0,1,5,1
3318,298,536,1,12.0,2016.06,0,0,0,3,5,1
2379,423,846,1,12.0,2016.06,0,0,0,1,5,1
2235,444,888,1,12.05,2016.06,0,0,0,1,5,1
957,377,754,1,12.4,2016.06,0,0,0,2,3,1
2608,395,790,1,12.4,2016.06,0,0,0,2,4,1
3907,223,401,1,12.4,2016.06,0,0,0,4,2,1
